Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Media
10542699114,"Jan 12, 2024, 10:34:12 AM",Evening Run,Run,"",1928,4.94,149.0,6,false,,Nike Pegasus 40,activities/11280700745.tcx.gz,,,1928.0,1919.0,4945.7,5.405,2.577,0.0,0.0,12.8,13.8,2.0,0.0,,,86.0,80.0,,117.0,,,365.0,,,6.0,,,,,,,,,,,0.0,,0.0,,1.0,4947.7,1705053568.0,1.0,0.1,-1.9,-6.3,0.62,1020.9,1.6,5.2,299.0,0.0,1705013248.0,1705048448.0,0.0,,18611020.0,0.0,1.0,0.0,25688.0,0.0,,,,,0.0,2.565,0.0,,,,,,,,,,,,,,,,,,,""
10553841518,"Jan 14, 2024, 1:24:29 AM",Morning Run,Run,"",3662,8.60,111.0,10,false,,Nike Pegasus 40,activities/11292279984.tcx.gz,,,3662.0,3662.0,8599.7,8.746,2.348,2.5,2.5,10.5,13.0,3.8,0.0,,,85.0,81.0,,104.0,,,646.0,,,10.0,,,,,,,,,,,0.0,,0.0,,1.0,8608.5,1705193984.0,3.0,1.7,-1.6,-4.2,0.65,1021.9,3.1,6.9,155.0,0.0,1705186048.0,1705221376.0,0.125,,18611020.0,0.65,5.0,0.98,20407.0,1.0,,,,,0.0,2.348,0.0,,,,,,,,,,,,,,,,,,,""
10565862171,"Jan 15, 2024, 9:19:57 PM",Morning Run,Run,"",1747,4.30,166.0,7,false,,Nike Pegasus 40,activities/11304814881.tcx.gz,,,1747.0,1735.0,4303.8,6.024,2.481,3.3,3.5,10.2,13.8,5.9,0.0,,,87.0,80.0,,127.0,,,310.0,,,7.0,,,,,,,,,,,0.0,,0.0,,1.0,4309.0,1705352448.0,1.0,-7.7,-8.4,-12.0,0.72,1032.1,1.0,1.9,23.0,0.0,1705358720.0,1705394304.0,0.125,,18611020.0,0.0,1.0,0.0,25830.0,0.0,,,,,0.0,2.464,0.0,,,,,,,,,,,,,,,,,,,""
10585472660,"Jan 18, 2024, 11:28:58 PM",Morning Run,Run,"",1914,4.87,180.0,58,false,,Nike Pegasus 40,activities/11325117526.tcx.gz,,,1914.0,1736.0,4872.0,11.745,2.806,20.7,19.1,4.2,21.9,31.2,0.0,,,84.0,81.0,,160.0,,,364.0,,,58.0,,,,,,,,,,,0.0,,0.0,,1.0,4902.4,1705618816.0,3.0,2.5,-0.2,-1.5,0.75,1029.0,2.7,6.4,69.0,0.0,1705617920.0,1705653632.0,0.25,,18611020.0,0.0,1.0,0.89,24821.0,0.0,,,,,0.0,2.545,0.0,,,,,,,,,,,,,,,,,,,""
10598373038,"Jan 21, 2024, 2:28:09 AM",Lunch Run,Run,"",4298,10.15,173.0,118,false,,Nike Pegasus 40,activities/11338397550.tcx.gz,,,4298.0,4298.0,10149.2,4.857,2.361,10.3,7.0,10.6,14.5,13.7,0.0,,,85.0,81.0,,155.0,,,766.0,,,118.0,,,,,,,,,,,0.0,,0.0,,1.0,10182.4,1705802368.0,3.0,3.3,1.3,-1.6,0.7,1026.5,2.1,4.3,30.0,0.0,1705790592.0,1705826560.0,0.375,,18611020.0,0.0,1.0,0.9,25051.0,1.0,,,,,0.0,2.361,0.0,,,,,,,,,,,,,,,,,,,""
10632501467,"Jan 26, 2024, 11:42:34 AM",Evening Run,Run,"",1807,5.27,175.0,78,false,,Nike Pegasus 40,activities/11373442481.tcx.gz,,,1807.0,1807.0,5272.8,5.68,2.918,0.0,2.4,10.6,13.3,2.3,0.0,,,85.0,82.0,,167.0,,,385.0,,,78.0,,,,,,,,,,,0.0,,0.0,,1.0,5270.3,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.918,0.0,,,,,,,,,,,,,,,,,,,""
10644331490,"Jan 28, 2024, 6:44:45 AM",Afternoon run,Run,"",4206,10.90,,,false,,Nike Pegasus 40,,,,4206.0,4206.0,10900.0,,2.592,0.0,,,,,0.0,,,,,,,,,832.0,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.592,0.0,,,,,,,,,,,,,,,,,,,""
10663516371,"Jan 30, 2024, 9:07:04 PM",Morning Run,Run,"",1750,4.44,171.0,34,false,,Nike Pegasus 40,activities/11405643482.tcx.gz,,,1750.0,1713.0,4445.2,6.465,2.595,82.3,81.9,12.8,19.6,18.8,-0.1,,,85.0,79.0,,149.0,,,316.0,,,34.0,,,,,,,,,,,0.0,,0.0,,1.0,4784.8,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.54,0.0,,,,,,,,,,,,,,,,,,,""
10691955734,"Feb 4, 2024, 6:23:34 AM",Afternoon Run,Run,"",3605,9.43,115.0,12,false,,Nike Pegasus 40,activities/11434940940.tcx.gz,,,3605.0,3605.0,9433.5,4.427,2.617,3.3,3.6,10.8,14.5,3.6,0.0,,,85.0,82.0,,115.0,,,707.0,,,12.0,,,,,,,,,,,0.0,,0.0,,1.0,9440.6,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.617,0.0,,,,,,,,,,,,,,,,,,,""
10703901610,"Feb 5, 2024, 9:20:31 PM",Morning Run,Run,"",2046,5.44,154.0,8,false,,Nike Pegasus 40,activities/11447406811.tcx.gz,,,2046.0,2035.0,5443.5,3.579,2.675,0.0,3.1,10.7,13.9,1.9,0.0,,,87.0,82.0,,122.0,,,398.0,,,8.0,,,,,,,,,,,0.0,,0.0,,1.0,5441.2,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.661,0.0,,,,,,,,,,,,,,,,,,,""
10719944678,"Feb 8, 2024, 9:05:58 AM",Evening Run,Run,"",2045,5.73,173.0,70,false,,Nike Pegasus 40,activities/11463876395.tcx.gz,,,2045.0,2045.0,5730.0,4.131,2.802,5.6,5.7,11.0,14.4,2.8,0.0,,,85.0,83.0,,161.0,,,423.0,,,70.0,,,,,,,,,,,0.0,,0.0,,1.0,5733.9,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.802,0.0,,,,,,,,,,,,,,,,,,,""
10745101291,"Feb 12, 2024, 6:12:45 AM",Afternoon Run,Run,"",4768,11.41,163.0,119,false,,Nike Pegasus 40,activities/11489823294.tcx.gz,,,4768.0,4762.0,11414.8,6.452,2.397,10.4,2.3,11.1,19.3,12.3,0.1,,,83.0,81.0,,152.0,,,866.0,,,119.0,,,,,,,,,,,0.0,,0.0,,1.0,11443.1,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.394,0.0,,,,,,,,,,,,,,,,,,,""
10756650517,"Feb 13, 2024, 9:16:24 PM",Morning Run,Run,"",2051,5.44,179.0,67,false,,Nike Pegasus 40,activities/11501690149.tcx.gz,,,2051.0,2033.0,5443.1,9.935,2.677,104.8,102.1,8.0,14.8,20.9,0.0,,,86.0,77.0,,160.0,,,354.0,,,67.0,,,,,,,,,,,0.0,,0.0,,1.0,5878.2,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.654,0.0,,,,,,,,,,,,,,,,,,,""
10784302858,"Feb 18, 2024, 5:38:00 AM",Afternoon Run,Run,"",3003,7.60,176.0,89,false,,Nike Pegasus 40,activities/11530179902.tcx.gz,,,3003.0,3000.0,7607.3,6.001,2.536,2.5,2.1,11.0,13.8,11.7,0.0,,,85.0,82.0,,157.0,,,567.0,,,89.0,,,,,,,,,,,0.0,,0.0,,1.0,7616.5,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.533,0.0,,,,,,,,,,,,,,,,,,,""
11604194079,"Feb 25, 2024, 5:46:44 AM",Afternoon Run,Run,"",498,1.04,143.0,1,false,,Nike Pegasus 40,activities/12384157833.tcx.gz,,,498.0,487.0,1039.0,3.149,2.134,0.0,3.5,10.1,13.6,2.2,-0.3,,,86.0,75.0,143.0,125.0,,,74.0,,,1.0,,,,,,,,,,,0.0,,0.0,,1.0,1035.1,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.086,0.0,,,,,,,,,2.125,,,,,,,,,,""
11608627911,"Jun 9, 2024, 6:35:27 AM",Afternoon Run,Run,"",1280,2.82,172.0,37,false,,Nike Pegasus 40,activities/12388750919.tcx.gz,,,1280.0,1280.0,2822.8,3.135,2.205,2.4,5.4,10.5,13.8,4.7,-0.1,,,82.0,79.0,172.0,156.0,,,205.0,,,37.0,,,,,,,,,,,0.0,,0.0,,1.0,2822.0,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.205,0.0,,,,,,,,,2.205,,,,,,,,,,""
11622237883,"Jun 10, 2024, 9:16:23 PM",Morning Run,Run,"",948,1.97,160.0,13,false,,Nike Pegasus 40,activities/12402779005.tcx.gz,,,948.0,942.0,1975.3,6.404,2.097,11.9,16.0,10.0,14.8,23.6,-0.2,,,81.0,79.0,160.0,141.0,,,137.0,,,13.0,,,,,,,,,,,0.0,,0.0,,1.0,2057.7,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.084,0.0,,,,,,,,,2.184,,,,,,,,,,""
11662206154,"Jun 16, 2024, 2:25:07 AM",Lunch Run,Run,"",1678,4.19,143.0,12,false,,Nike Pegasus 40,activities/12443885888.tcx.gz,,,1678.0,1678.0,4191.8,4.581,2.498,2.9,2.6,11.0,14.0,3.8,0.0,,,86.0,82.0,143.0,136.0,,,299.0,,,12.0,,,,,,,,,,,0.0,,0.0,,1.0,4195.8,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.498,0.0,,,,,,,,,2.5,,,,,,,,,,""
11676404962,"Jun 17, 2024, 9:05:06 PM",Morning Run,Run,"",1200,3.02,144.0,6,false,,Nike Pegasus 40,activities/12458552690.tcx.gz,,,1200.0,1200.0,3028.9,5.178,2.524,57.0,57.2,12.6,19.6,20.1,0.0,,,88.0,83.0,144.0,132.0,,,209.0,,,6.0,,,,,,,,,,,0.0,,0.0,,1.0,3258.7,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.524,0.0,,,,,,,,,2.716,,,,,,,,,,""
11717328081,"Jun 23, 2024, 7:48:54 AM",Afternoon Run,Run,"",1572,4.06,152.0,21,false,,Nike Pegasus 40,activities/12500696218.tcx.gz,,,1572.0,1572.0,4064.4,3.416,2.586,2.3,2.5,11.2,13.7,10.3,0.0,,,85.0,81.0,152.0,142.0,,,311.0,,,21.0,,,,,,,,,,,0.0,,0.0,,1.0,4070.9,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.586,0.0,,,,,,,,,2.59,,,,,,,,,,""
11731005717,"Jun 24, 2024, 9:00:02 PM",Morning Run,Run,"",1512,3.78,140.0,7,false,,Nike Pegasus 40,activities/12514801322.tcx.gz,,,1512.0,1488.0,3780.7,10.417,2.541,62.8,66.8,12.8,19.6,18.9,-0.1,,,88.0,83.0,140.0,132.0,,,308.0,,,7.0,,,,,,,,,,,0.0,,0.0,,1.0,4030.2,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.5,0.0,,,,,,,,,2.708,,,,,,,,,,""
11756751322,"Jun 28, 2024, 12:45:52 AM",Morning run,Run,"",1823,4.80,,,false,,Nike Pegasus 40,,,,1823.0,1823.0,4800.0,,2.633,0.0,,,,,0.0,,,,,,,,,366.0,,,,,,,,,7.0,,,,,0.0,58.0,0.0,,0.0,,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.633,0.0,,,,,,,,,,,,,,,,,,,""
11771510687,"Jun 30, 2024, 2:56:16 AM",Morning Walk,Walk,,763,0.21,117.0,0,false,,,activities/12556407536.tcx.gz,,,763.0,154.0,211.0,9.04,1.37,0.0,0.0,86.9,89.1,5.0,0.4,,,141.0,97.0,117.0,112.0,,,56.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.277,0.0,,,,,,,,,,,,,,,,,,,""
11774503766,"Jun 30, 2024, 11:57:34 AM",Evening Walk,Walk,,980,0.22,93.0,0,false,,,activities/12559518010.tcx.gz,,,980.0,340.0,221.7,1.907,0.652,0.0,0.0,5.5,5.8,1.1,0.1,,,133.0,70.0,93.0,84.0,,,73.0,,,0.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.226,0.0,,,,,,,,,,,,,,,,,,,""
11818439286,"Jul 6, 2024, 2:12:27 AM",Lunch Run,Run,"",2405,5.60,142.0,15,false,,Nike Pegasus 40,activities/12604855301.tcx.gz,,,2405.0,2405.0,5599.8,6.314,2.328,0.0,0.0,12.8,14.5,2.6,0.0,,,84.0,80.0,142.0,136.0,,,407.0,,,15.0,,,,,,,,,,,0.0,,0.0,,1.0,5601.7,,,,,,,,,,,,,,,,18611020.0,,,,,,,,,,0.0,2.328,0.0,,,,,,,,,2.329,,,,,,,,,,""
